disputer, disputant, disputé, je dispute,tu disputes,il dispute,nous disputons,vous disputez,ils disputent, j'ai disputé,tu as disputé,il a disputé,nous avons disputé,vous avez disputé,ils ont disputé, je disputais,tu disputais,il disputait,nous disputions,vous disputiez,ils disputaient, je disputai,tu disputas,il disputa,nous disputâmes,vous disputâtes,ils disputèrent, je disputerai,tu disputeras,il disputera,nous disputerons,vous disputerez,ils disputeront, je disputerais,tu disputerais,il disputerait,nous disputerions,vous disputeriez,ils disputeraient, que je dispute,que tu disputes,qu'il dispute,que nous disputions,que vous disputiez,qu'ils disputent, que je disputasse,que tu disputasses,qu'il disputât,que nous disputassions,que vous disputassiez,qu'ils disputassent, (tu) dispute,(nous) disputons,(vous) disputez
toucher, touchant, touché, je touche,tu touches,il touche,nous touchons,vous touchez,ils touchent, j'ai touché,tu as touché,il a touché,nous avons touché,vous avez touché,ils ont touché, je touchais,tu touchais,il touchait,nous touchions,vous touchiez,ils touchaient, je touchai,tu touchas,il toucha,nous touchâmes,vous touchâtes,ils touchèrent, je toucherai,tu toucheras,il touchera,nous toucherons,vous toucherez,ils toucheront, je toucherais,tu toucherais,il toucherait,nous toucherions,vous toucheriez,ils toucheraient, que je touche,que tu touches,qu'il touche,que nous touchions,que vous touchiez,qu'ils touchent, que je touchasse,que tu touchasses,qu'il touchât,que nous touchassions,que vous touchassiez,qu'ils touchassent, (tu) touche,(nous) touchons,(vous) touchez
voyager, voyageant, voyagé, je voyage,tu voyages,il voyage,nous voyageons,vous voyagez,ils voyagent, j'ai voyagé,tu as voyagé,il a voyagé,nous avons voyagé,vous avez voyagé,ils ont voyagé, je voyageais,tu voyageais,il voyageait,nous voyagions,vous voyagiez,ils voyageaient, je voyageai,tu voyageas,il voyagea,nous voyageâmes,vous voyageâtes,ils voyagèrent, je voyagerai,tu voyageras,il voyagera,nous voyagerons,vous voyagerez,ils voyageront, je voyagerais,tu voyagerais,il voyagerait,nous voyagerions,vous voyageriez,ils voyageraient, que je voyage,que tu voyages,qu'il voyage,que nous voyagions,que vous voyagiez,qu'ils voyagent, que je voyageasse,que tu voyageasses,qu'il voyageât,que nous voyageassions,que vous voyageassiez,qu'ils voyageassent, (tu) voyage,(nous) voyageons,(vous) voyagez
allumer, allumant, allumé, j'allume,tu allumes,il allume,nous allumons,vous allumez,ils allument, j'ai allumé,tu as allumé,il a allumé,nous avons allumé,vous avez allumé,ils ont allumé, j'allumais,tu allumais,il allumait,nous allumions,vous allumiez,ils allumaient, j'allumai,tu allumas,il alluma,nous allumâmes,vous allumâtes,ils allumèrent, j'allumerai,tu allumeras,il allumera,nous allumerons,vous allumerez,ils allumeront, j'allumerais,tu allumerais,il allumerait,nous allumerions,vous allumeriez,ils allumeraient, que j'allume,que tu allumes,qu'il allume,que nous allumions,que vous allumiez,qu'ils allument, que j'allumasse,que tu allumasses,qu'il allumât,que nous allumassions,que vous allumassiez,qu'ils allumassent, (tu) allume,(nous) allumons,(vous) allumez
éteindre, éteignant, éteint, j'éteins,tu éteins,il éteint,nous éteignons,vous éteignez,ils éteignent, j'ai éteint,tu as éteint,il a éteint,nous avons éteint,vous avez éteint,ils ont éteint, j'éteignais,tu éteignais,il éteignait,nous éteignions,vous éteigniez,ils éteignaient, j'éteignis,tu éteignis,il éteignit,nous éteignîmes,vous éteignîtes,ils éteignirent, j'éteindrai,tu éteindras,il éteindra,nous éteindrons,vous éteindrez,ils éteindront, j'éteindrais,tu éteindrais,il éteindrait,nous éteindrions,vous éteindriez,ils éteindraient, que j'éteigne,que tu éteignes,qu'il éteigne,que nous éteignions,que vous éteigniez,qu'ils éteignent, que j'éteignisse,que tu éteignisses,qu'il éteignît,que nous éteignissions,que vous éteignissiez,qu'ils éteignissent, (tu) éteins,(nous) éteignons,(vous) éteignez
voter, votant, voté, je vote,tu votes,il vote,nous votons,vous votez,ils votent, j'ai voté,tu as voté,il a voté,nous avons voté,vous avez voté,ils ont voté, je votais,tu votais,il votait,nous votions,vous votiez,ils votaient, je votai,tu votas,il vota,nous votâmes,vous votâtes,ils votèrent, je voterai,tu voteras,il votera,nous voterons,vous voterez,ils voteront, je voterais,tu voterais,il voterait,nous voterions,vous voteriez,ils voteraient, que je vote,que tu votes,qu'il vote,que nous votions,que vous votiez,qu'ils votent, que je votasse,que tu votasses,qu'il votât,que nous votassions,que vous votassiez,qu'ils votassent, (tu) vote,(nous) votons,(vous) votez
attendre, attendant, attendu, j'attends,tu attends,il attend,nous attendons,vous attendez,ils attendent, j'ai attendu,tu as attendu,il a attendu,nous avons attendu,vous avez attendu,ils ont attendu, j'attendais,tu attendais,il attendait,nous attendions,vous attendiez,ils attendaient, j'attendis,tu attendis,il attendit,nous attendîmes,vous attendîtes,ils attendirent, j'attendrai,tu attendras,il attendra,nous attendrons,vous attendrez,ils attendront, j'attendrais,tu attendrais,il attendrait,nous attendrions,vous attendriez,ils attendraient, que j'attende,que tu attendes,qu'il attende,que nous attendions,que vous attendiez,qu'ils attendent, que j'attendisse,que tu attendisses,qu'il attendît,que nous attendissions,que vous attendissiez,qu'ils attendissent, (tu) attends,(nous) attendons,(vous) attendez
vouloir, voulant, voulu, je veux,tu veux,il veut,nous voulons,vous voulez,ils veulent, j'ai voulu,tu as voulu,il a voulu,nous avons voulu,vous avez voulu,ils ont voulu, je voulais,tu voulais,il voulait,nous voulions,vous vouliez,ils voulaient, je voulus,tu voulus,il voulut,nous voulûmes,vous voulûtes,ils voulurent, je voudrai,tu voudras,il voudra,nous voudrons,vous voudrez,ils voudront, je voudrais,tu voudrais,il voudrait,nous voudrions,vous voudriez,ils voudraient, que je veuille,que tu veuilles,qu'il veuille,que nous voulions,que vous vouliez,qu'ils veuillent, que je voulusse,que tu voulusses,qu'il voulût,que nous voulussions,que vous voulussiez,qu'ils voulussent, (tu) veuille,(nous) veuillons,(vous) veuillez
laver, lavant, lavé, je lave,tu laves,il lave,nous lavons,vous lavez,ils lavent, j'ai lavé,tu as lavé,il a lavé,nous avons lavé,vous avez lavé,ils ont lavé, je lavais,tu lavais,il lavait,nous lavions,vous laviez,ils lavaient, je lavai,tu lavas,il lava,nous lavâmes,vous lavâtes,ils lavèrent, je laverai,tu laveras,il lavera,nous laverons,vous laverez,ils laveront, je laverais,tu laverais,il laverait,nous laverions,vous laveriez,ils laveraient, que je lave,que tu laves,qu'il lave,que nous lavions,que vous laviez,qu'ils lavent, que je lavasse,que tu lavasses,qu'il lavât,que nous lavassions,que vous lavassiez,qu'ils lavassent, (tu) lave,(nous) lavons,(vous) lavez
travailler, travaillant, travaillé, je travaille,tu travailles,il travaille,nous travaillons,vous travaillez,ils travaillent, j'ai travaillé,tu as travaillé,il a travaillé,nous avons travaillé,vous avez travaillé,ils ont travaillé, je travaillais,tu travaillais,il travaillait,nous travaillions,vous travailliez,ils travaillaient, je travaillai,tu travaillas,il travailla,nous travaillâmes,vous travaillâtes,ils travaillèrent, je travaillerai,tu travailleras,il travaillera,nous travaillerons,vous travaillerez,ils travailleront, je travaillerais,tu travaillerais,il travaillerait,nous travaillerions,vous travailleriez,ils travailleraient, que je travaille,que tu travailles,qu'il travaille,que nous travaillions,que vous travailliez,qu'ils travaillent, que je travaillasse,que tu travaillasses,qu'il travaillât,que nous travaillassions,que vous travaillassiez,qu'ils travaillassent, (tu) travaille,(nous) travaillons,(vous) travaillez
bâiller, bâillant, bâillé, je bâille,tu bâilles,il bâille,nous bâillons,vous bâillez,ils bâillent, j'ai bâillé,tu as bâillé,il a bâillé,nous avons bâillé,vous avez bâillé,ils ont bâillé, je bâillais,tu bâillais,il bâillait,nous bâillions,vous bâilliez,ils bâillaient, je bâillai,tu bâillas,il bâilla,nous bâillâmes,vous bâillâtes,ils bâillèrent, je bâillerai,tu bâilleras,il bâillera,nous bâillerons,vous bâillerez,ils bâilleront, je bâillerais,tu bâillerais,il bâillerait,nous bâillerions,vous bâilleriez,ils bâilleraient, que je bâille,que tu bâilles,qu'il bâille,que nous bâillions,que vous bâilliez,qu'ils bâillent, que je bâillasse,que tu bâillasses,qu'il bâillât,que nous bâillassions,que vous bâillassiez,qu'ils bâillassent, (tu) bâille,(nous) bâillons,(vous) bâillez
maintenir, maintenant, maintenu, je maintiens,tu maintiens,il maintient,nous maintenons,vous maintenez,ils maintiennent, j'ai maintenu,tu as maintenu,il a maintenu,nous avons maintenu,vous avez maintenu,ils ont maintenu, je maintenais,tu maintenais,il maintenait,nous maintenions,vous mainteniez,ils maintenaient, je maintins,tu maintins,il maintint,nous maintînmes,vous maintîntes,ils maintinrent, je maintiendrai,tu maintiendras,il maintiendra,nous maintiendrons,vous maintiendrez,ils maintiendront, je maintiendrais,tu maintiendrais,il maintiendrait,nous maintiendrions,vous maintiendriez,ils maintiendraient, que je maintienne,que tu maintiennes,qu'il maintienne,que nous maintenions,que vous mainteniez,qu'ils maintiennent, que je maintinsse,que tu maintinsses,qu'il maintînt,que nous maintinssions,que vous maintinssiez,qu'ils maintinssent, (tu) maintiens,(nous) maintenons,(vous) maintenez
plonger, plongeant, plongé, je plonge,tu plonges,il plonge,nous plongeons,vous plongez,ils plongent, j'ai plongé,tu as plongé,il a plongé,nous avons plongé,vous avez plongé,ils ont plongé, je plongeais,tu plongeais,il plongeait,nous plongions,vous plongiez,ils plongeaient, je plongeai,tu plongeas,il plongea,nous plongeâmes,vous plongeâtes,ils plongèrent, je plongerai,tu plongeras,il plongera,nous plongerons,vous plongerez,ils plongeront, je plongerais,tu plongerais,il plongerait,nous plongerions,vous plongeriez,ils plongeraient, que je plonge,que tu plonges,qu'il plonge,que nous plongions,que vous plongiez,qu'ils plongent, que je plongeasse,que tu plongeasses,qu'il plongeât,que nous plongeassions,que vous plongeassiez,qu'ils plongeassent, (tu) plonge,(nous) plongeons,(vous) plongez
traverser, traversant, traversé, je traverse,tu traverses,il traverse,nous traversons,vous traversez,ils traversent, j'ai traversé,tu as traversé,il a traversé,nous avons traversé,vous avez traversé,ils ont traversé, je traversais,tu traversais,il traversait,nous traversions,vous traversiez,ils traversaient, je traversai,tu traversas,il traversa,nous traversâmes,vous traversâtes,ils traversèrent, je traverserai,tu traverseras,il traversera,nous traverserons,vous traverserez,ils traverseront, je traverserais,tu traverserais,il traverserait,nous traverserions,vous traverseriez,ils traverseraient, que je traverse,que tu traverses,qu'il traverse,que nous traversions,que vous traversiez,qu'ils traversent, que je traversasse,que tu traversasses,qu'il traversât,que nous traversassions,que vous traversassiez,qu'ils traversassent, (tu) traverse,(nous) traversons,(vous) traversez
partir, partant, parti, je pars,tu pars,il part,nous partons,vous partez,ils partent, je suis parti,tu es parti,il est parti,nous sommes partis,vous êtes partis,ils sont partis, je partais,tu partais,il partait,nous partions,vous partiez,ils partaient, je partis,tu partis,il partit,nous partîmes,vous partîtes,ils partirent, je partirai,tu partiras,il partira,nous partirons,vous partirez,ils partiront, je partirais,tu partirais,il partirait,nous partirions,vous partiriez,ils partiraient, que je parte,que tu partes,qu'il parte,que nous partions,que vous partiez,qu'ils partent, que je partisse,que tu partisses,qu'il partît,que nous partissions,que vous partissiez,qu'ils partissent, (tu) pars,(nous) partons,(vous) partez
abattre, abattant, abattu, j'abats,tu abats,il abat,nous abattons,vous abattez,ils abattent, j'ai abattu,tu as abattu,il a abattu,nous avons abattu,vous avez abattu,ils ont abattu, j'abattais,tu abattais,il abattait,nous abattions,vous abattiez,ils abattaient, j'abattis,tu abattis,il abattit,nous abattîmes,vous abattîtes,ils abattirent, j'abattrai,tu abattras,il abattra,nous abattrons,vous abattrez,ils abattront, j'abattrais,tu abattrais,il abattrait,nous abattrions,vous abattriez,ils abattraient, que j'abatte,que tu abattes,qu'il abatte,que nous abattions,que vous abattiez,qu'ils abattent, que j'abattisse,que tu abattisses,qu'il abattît,que nous abattissions,que vous abattissiez,qu'ils abattissent, (tu) abats,(nous) abattons,(vous) abattez
retirer, retirant, retiré, je retire,tu retires,il retire,nous retirons,vous retirez,ils retirent, j'ai retiré,tu as retiré,il a retiré,nous avons retiré,vous avez retiré,ils ont retiré, je retirais,tu retirais,il retirait,nous retirions,vous retiriez,ils retiraient, je retirai,tu retiras,il retira,nous retirâmes,vous retirâtes,ils retirèrent, je retirerai,tu retireras,il retirera,nous retirerons,vous retirerez,ils retireront, je retirerais,tu retirerais,il retirerait,nous retirerions,vous retireriez,ils retireraient, que je retire,que tu retires,qu'il retire,que nous retirions,que vous retiriez,qu'ils retirent, que je retirasse,que tu retirasses,qu'il retirât,que nous retirassions,que vous retirassiez,qu'ils retirassent, (tu) retire,(nous) retirons,(vous) retirez
accrocher, accrochant, accroché, j'accroche,tu accroches,il accroche,nous accrochons,vous accrochez,ils accrochent, j'ai accroché,tu as accroché,il a accroché,nous avons accroché,vous avez accroché,ils ont accroché, j'accrochais,tu accrochais,il accrochait,nous accrochions,vous accrochiez,ils accrochaient, j'accrochai,tu accrochas,il accrocha,nous accrochâmes,vous accrochâtes,ils accrochèrent, j'accrocherai,tu accrocheras,il accrochera,nous accrocherons,vous accrocherez,ils accrocheront, j'accrocherais,tu accrocherais,il accrocherait,nous accrocherions,vous accrocheriez,ils accrocheraient, que j'accroche,que tu accroches,qu'il accroche,que nous accrochions,que vous accrochiez,qu'ils accrochent, que j'accrochasse,que tu accrochasses,qu'il accrochât,que nous accrochassions,que vous accrochassiez,qu'ils accrochassent, (tu) accroche,(nous) accrochons,(vous) accrochez
échapper, échappant, échappé, j'échappe,tu échappes,il échappe,nous échappons,vous échappez,ils échappent, j'ai échappé,tu as échappé,il a échappé,nous avons échappé,vous avez échappé,ils ont échappé, j'échappais,tu échappais,il échappait,nous échappions,vous échappiez,ils échappaient, j'échappai,tu échappas,il échappa,nous échappâmes,vous échappâtes,ils échappèrent, j'échapperai,tu échapperas,il échappera,nous échapperons,vous échapperez,ils échapperont, j'échapperais,tu échapperais,il échapperait,nous échapperions,vous échapperiez,ils échapperaient, que j'échappe,que tu échappes,qu'il échappe,que nous échappions,que vous échappiez,qu'ils échappent, que j'échappasse,que tu échappasses,qu'il échappât,que nous échappassions,que vous échappassiez,qu'ils échappassent, (tu) échappe,(nous) échappons,(vous) échappez
couler, coulant, coulé, je coule,tu coules,il coule,nous coulons,vous coulez,ils coulent, j'ai coulé,tu as coulé,il a coulé,nous avons coulé,vous avez coulé,ils ont coulé, je coulais,tu coulais,il coulait,nous coulions,vous couliez,ils coulaient, je coulai,tu coulas,il coula,nous coulâmes,vous coulâtes,ils coulèrent, je coulerai,tu couleras,il coulera,nous coulerons,vous coulerez,ils couleront, je coulerais,tu coulerais,il coulerait,nous coulerions,vous couleriez,ils couleraient, que je coule,que tu coules,qu'il coule,que nous coulions,que vous couliez,qu'ils coulent, que je coulasse,que tu coulasses,qu'il coulât,que nous coulassions,que vous coulassiez,qu'ils coulassent, (tu) coule,(nous) coulons,(vous) coulez
arriver, arrivant, arrivé, j'arrive,tu arrives,il arrive,nous arrivons,vous arrivez,ils arrivent, je suis arrivé,tu es arrivé,il est arrivé,nous sommes arrivés,vous êtes arrivés,ils sont arrivés, j'arrivais,tu arrivais,il arrivait,nous arrivions,vous arriviez,ils arrivaient, j'arrivai,tu arrivas,il arriva,nous arrivâmes,vous arrivâtes,ils arrivèrent, j'arriverai,tu arriveras,il arrivera,nous arriverons,vous arriverez,ils arriveront, j'arriverais,tu arriverais,il arriverait,nous arriverions,vous arriveriez,ils arriveraient, que j'arrive,que tu arrives,qu'il arrive,que nous arrivions,que vous arriviez,qu'ils arrivent, que j'arrivasse,que tu arrivasses,qu'il arrivât,que nous arrivassions,que vous arrivassiez,qu'ils arrivassent, (tu) arrive,(nous) arrivons,(vous) arrivez
venir, venant, venu, je viens,tu viens,il vient,nous venons,vous venez,ils viennent, je suis venu,tu es venu,il est venu,nous sommes venus,vous êtes venus,ils sont venus, je venais,tu venais,il venait,nous venions,vous veniez,ils venaient, je vins,tu vins,il vint,nous vînmes,vous vîntes,ils vinrent, je viendrai,tu viendras,il viendra,nous viendrons,vous viendrez,ils viendront, je viendrais,tu viendrais,il viendrait,nous viendrions,vous viendriez,ils viendraient, que je vienne,que tu viennes,qu'il vienne,que nous venions,que vous veniez,qu'ils viennent, que je vinsse,que tu vinsses,qu'il vînt,que nous vinssions,que vous vinssiez,qu'ils vinssent, (tu) viens,(nous) venons,(vous) venez
entendre, entendant, entendu, j'entends,tu entends,il entend,nous entendons,vous entendez,ils entendent, j'ai entendu,tu as entendu,il a entendu,nous avons entendu,vous avez entendu,ils ont entendu, j'entendais,tu entendais,il entendait,nous entendions,vous entendiez,ils entendaient, j'entendis,tu entendis,il entendit,nous entendîmes,vous entendîtes,ils entendirent, j'entendrai,tu entendras,il entendra,nous entendrons,vous entendrez,ils entendront, j'entendrais,tu entendrais,il entendrait,nous entendrions,vous entendriez,ils entendraient, que j'entende,que tu entendes,qu'il entende,que nous entendions,que vous entendiez,qu'ils entendent, que j'entendisse,que tu entendisses,qu'il entendît,que nous entendissions,que vous entendissiez,qu'ils entendissent, (tu) entends,(nous) entendons,(vous) entendez
payer, payant, payé, je paie,tu paies,il paie,nous payons,vous payez,ils paient, j'ai payé,tu as payé,il a payé,nous avons payé,vous avez payé,ils ont payé, je payais,tu payais,il payait,nous payions,vous payiez,ils payaient, je payai,tu payas,il paya,nous payâmes,vous payâtes,ils payèrent, je paierai,tu paieras,il paiera,nous paierons,vous paierez,ils paieront, je paierais,tu paierais,il paierait,nous paierions,vous paieriez,ils paieraient, que je paie,que tu paies,qu'il paie,que nous payions,que vous payiez,qu'ils paient, que je payasse,que tu payasses,qu'il payât,que nous payassions,que vous payassiez,qu'ils payassent, (tu) paie,(nous) payons,(vous) payez
apparaître, apparaissant, apparu, j'apparais,tu apparais,il apparaît,nous apparaissons,vous apparaissez,ils apparaissent, j'ai apparu,tu as apparu,il a apparu,nous avons apparu,vous avez apparu,ils ont apparu, j'apparaissais,tu apparaissais,il apparaissait,nous apparaissions,vous apparaissiez,ils apparaissaient, j'apparus,tu apparus,il apparut,nous apparûmes,vous apparûtes,ils apparurent, j'apparaîtrai,tu apparaîtras,il apparaîtra,nous apparaîtrons,vous apparaîtrez,ils apparaîtront, j'apparaîtrais,tu apparaîtrais,il apparaîtrait,nous apparaîtrions,vous apparaîtriez,ils apparaîtraient, que j'apparaisse,que tu apparaisses,qu'il apparaisse,que nous apparaissions,que vous apparaissiez,qu'ils apparaissent, que j'apparusse,que tu apparusses,qu'il apparût,que nous apparussions,que vous apparussiez,qu'ils apparussent, (tu) apparais,(nous) apparaissons,(vous) apparaissez
perdre, perdant, perdu, je perds,tu perds,il perd,nous perdons,vous perdez,ils perdent, j'ai perdu,tu as perdu,il a perdu,nous avons perdu,vous avez perdu,ils ont perdu, je perdais,tu perdais,il perdait,nous perdions,vous perdiez,ils perdaient, je perdis,tu perdis,il perdit,nous perdîmes,vous perdîtes,ils perdirent, je perdrai,tu perdras,il perdra,nous perdrons,vous perdrez,ils perdront, je perdrais,tu perdrais,il perdrait,nous perdrions,vous perdriez,ils perdraient, que je perde,que tu perdes,qu'il perde,que nous perdions,que vous perdiez,qu'ils perdent, que je perdisse,que tu perdisses,qu'il perdît,que nous perdissions,que vous perdissiez,qu'ils perdissent, (tu) perds,(nous) perdons,(vous) perdez
gagner, gagnant, gagné, je gagne,tu gagnes,il gagne,nous gagnons,vous gagnez,ils gagnent, j'ai gagné,tu as gagné,il a gagné,nous avons gagné,vous avez gagné,ils ont gagné, je gagnais,tu gagnais,il gagnait,nous gagnions,vous gagniez,ils gagnaient, je gagnai,tu gagnas,il gagna,nous gagnâmes,vous gagnâtes,ils gagnèrent, je gagnerai,tu gagneras,il gagnera,nous gagnerons,vous gagnerez,ils gagneront, je gagnerais,tu gagnerais,il gagnerait,nous gagnerions,vous gagneriez,ils gagneraient, que je gagne,que tu gagnes,qu'il gagne,que nous gagnions,que vous gagniez,qu'ils gagnent, que je gagnasse,que tu gagnasses,qu'il gagnât,que nous gagnassions,que vous gagnassiez,qu'ils gagnassent, (tu) gagne,(nous) gagnons,(vous) gagnez
permettre, permettant, permis, je permets,tu permets,il permet,nous permettons,vous permettez,ils permettent, j'ai permis,tu as permis,il a permis,nous avons permis,vous avez permis,ils ont permis, je permettais,tu permettais,il permettait,nous permettions,vous permettiez,ils permettaient, je permis,tu permis,il permit,nous permîmes,vous permîtes,ils permirent, je permettrai,tu permettras,il permettra,nous permettrons,vous permettrez,ils permettront, je permettrais,tu permettrais,il permettrait,nous permettrions,vous permettriez,ils permettraient, que je permette,que tu permettes,qu'il permette,que nous permettions,que vous permettiez,qu'ils permettent, que je permisse,que tu permisses,qu'il permît,que nous permissions,que vous permissiez,qu'ils permissent, (tu) permets,(nous) permettons,(vous) permettez
interdire, interdisant, interdit, j'interdis,tu interdis,il interdit,nous interdisons,vous interdisez,ils interdisent, j'ai interdit,tu as interdit,il a interdit,nous avons interdit,vous avez interdit,ils ont interdit, j'interdisais,tu interdisais,il interdisait,nous interdisions,vous interdisiez,ils interdisaient, j'interdis,tu interdis,il interdit,nous interdîmes,vous interdîtes,ils interdirent, j'interdirai,tu interdiras,il interdira,nous interdirons,vous interdirez,ils interdiront, j'interdirais,tu interdirais,il interdirait,nous interdirions,vous interdiriez,ils interdiraient, que j'interdise,que tu interdises,qu'il interdise,que nous interdisions,que vous interdisiez,qu'ils interdisent, que j'interdisse,que tu interdisses,qu'il interdît,que nous interdissions,que vous interdissiez,qu'ils interdissent, (tu) interdis,(nous) interdisons,(vous) interdisez
promener, promenant, promené, je promène,tu promènes,il promène,nous promenons,vous promenez,ils promènent, j'ai promené,tu as promené,il a promené,nous avons promené,vous avez promené,ils ont promené, je promenais,tu promenais,il promenait,nous promenions,vous promeniez,ils promenaient, je promenai,tu promenas,il promena,nous promenâmes,vous promenâtes,ils promenèrent, je promènerai,tu promèneras,il promènera,nous promènerons,vous promènerez,ils promèneront, je promènerais,tu promènerais,il promènerait,nous promènerions,vous promèneriez,ils promèneraient, que je promène,que tu promènes,qu'il promène,que nous promenions,que vous promeniez,qu'ils promènent, que je promenasse,que tu promenasses,qu'il promenât,que nous promenassions,que vous promenassiez,qu'ils promenassent, (tu) promène,(nous) promenons,(vous) promenez
appartenir, appartenant, appartenu, j'appartiens,tu appartiens,il appartient,nous appartenons,vous appartenez,ils appartiennent, j'ai appartenu,tu as appartenu,il a appartenu,nous avons appartenu,vous avez appartenu,ils ont appartenu, j'appartenais,tu appartenais,il appartenait,nous appartenions,vous apparteniez,ils appartenaient, j'appartins,tu appartins,il appartint,nous appartînmes,vous appartîntes,ils appartinrent, j'appartiendrai,tu appartiendras,il appartiendra,nous appartiendrons,vous appartiendrez,ils appartiendront, j'appartiendrais,tu appartiendrais,il appartiendrait,nous appartiendrions,vous appartiendriez,ils appartiendraient, que j'appartienne,que tu appartiennes,qu'il appartienne,que nous appartenions,que vous apparteniez,qu'ils appartiennent, que j'appartinsse,que tu appartinsses,qu'il appartînt,que nous appartinssions,que vous appartinssiez,qu'ils appartinssent, (tu) appartiens,(nous) appartenons,(vous) appartenez
piétiner, piétinant, piétiné, je piétine,tu piétines,il piétine,nous piétinons,vous piétinez,ils piétinent, j'ai piétiné,tu as piétiné,il a piétiné,nous avons piétiné,vous avez piétiné,ils ont piétiné, je piétinais,tu piétinais,il piétinait,nous piétinions,vous piétiniez,ils piétinaient, je piétinai,tu piétinas,il piétina,nous piétinâmes,vous piétinâtes,ils piétinèrent, je piétinerai,tu piétineras,il piétinera,nous piétinerons,vous piétinerez,ils piétineront, je piétinerais,tu piétinerais,il piétinerait,nous piétinerions,vous piétineriez,ils piétineraient, que je piétine,que tu piétines,qu'il piétine,que nous piétinions,que vous piétiniez,qu'ils piétinent, que je piétinasse,que tu piétinasses,qu'il piétinât,que nous piétinassions,que vous piétinassiez,qu'ils piétinassent, (tu) piétine,(nous) piétinons,(vous) piétinez
effectuer, effectuant, effectué, j'effectue,tu effectues,il effectue,nous effectuons,vous effectuez,ils effectuent, j'ai effectué,tu as effectué,il a effectué,nous avons effectué,vous avez effectué,ils ont effectué, j'effectuais,tu effectuais,il effectuait,nous effectuions,vous effectuiez,ils effectuaient, j'effectuai,tu effectuas,il effectua,nous effectuâmes,vous effectuâtes,ils effectuèrent, j'effectuerai,tu effectueras,il effectuera,nous effectuerons,vous effectuerez,ils effectueront, j'effectuerais,tu effectuerais,il effectuerait,nous effectuerions,vous effectueriez,ils effectueraient, que j'effectue,que tu effectues,qu'il effectue,que nous effectuions,que vous effectuiez,qu'ils effectuent, que j'effectuasse,que tu effectuasses,qu'il effectuât,que nous effectuassions,que vous effectuassiez,qu'ils effectuassent, (tu) effectue,(nous) effectuons,(vous) effectuez
sentir, sentant, senti, je sens,tu sens,il sent,nous sentons,vous sentez,ils sentent, j'ai senti,tu as senti,il a senti,nous avons senti,vous avez senti,ils ont senti, je sentais,tu sentais,il sentait,nous sentions,vous sentiez,ils sentaient, je sentis,tu sentis,il sentit,nous sentîmes,vous sentîtes,ils sentirent, je sentirai,tu sentiras,il sentira,nous sentirons,vous sentirez,ils sentiront, je sentirais,tu sentirais,il sentirait,nous sentirions,vous sentiriez,ils sentiraient, que je sente,que tu sentes,qu'il sente,que nous sentions,que vous sentiez,qu'ils sentent, que je sentisse,que tu sentisses,qu'il sentît,que nous sentissions,que vous sentissiez,qu'ils sentissent, (tu) sens,(nous) sentons,(vous) sentez
apporter, apportant, apporté, j'apporte,tu apportes,il apporte,nous apportons,vous apportez,ils apportent, j'ai apporté,tu as apporté,il a apporté,nous avons apporté,vous avez apporté,ils ont apporté, j'apportais,tu apportais,il apportait,nous apportions,vous apportiez,ils apportaient, j'apportai,tu apportas,il apporta,nous apportâmes,vous apportâtes,ils apportèrent, j'apporterai,tu apporteras,il apportera,nous apporterons,vous apporterez,ils apporteront, j'apporterais,tu apporterais,il apporterait,nous apporterions,vous apporteriez,ils apporteraient, que j'apporte,que tu apportes,qu'il apporte,que nous apportions,que vous apportiez,qu'ils apportent, que j'apportasse,que tu apportasses,qu'il apportât,que nous apportassions,que vous apportassiez,qu'ils apportassent, (tu) apporte,(nous) apportons,(vous) apportez
traiter, traitant, traité, je traite,tu traites,il traite,nous traitons,vous traitez,ils traitent, j'ai traité,tu as traité,il a traité,nous avons traité,vous avez traité,ils ont traité, je traitais,tu traitais,il traitait,nous traitions,vous traitiez,ils traitaient, je traitai,tu traitas,il traita,nous traitâmes,vous traitâtes,ils traitèrent, je traiterai,tu traiteras,il traitera,nous traiterons,vous traiterez,ils traiteront, je traiterais,tu traiterais,il traiterait,nous traiterions,vous traiteriez,ils traiteraient, que je traite,que tu traites,qu'il traite,que nous traitions,que vous traitiez,qu'ils traitent, que je traitasse,que tu traitasses,qu'il traitât,que nous traitassions,que vous traitassiez,qu'ils traitassent, (tu) traite,(nous) traitons,(vous) traitez
tenter, tentant, tenté, je tente,tu tentes,il tente,nous tentons,vous tentez,ils tentent, j'ai tenté,tu as tenté,il a tenté,nous avons tenté,vous avez tenté,ils ont tenté, je tentais,tu tentais,il tentait,nous tentions,vous tentiez,ils tentaient, je tentai,tu tentas,il tenta,nous tentâmes,vous tentâtes,ils tentèrent, je tenterai,tu tenteras,il tentera,nous tenterons,vous tenterez,ils tenteront, je tenterais,tu tenterais,il tenterait,nous tenterions,vous tenteriez,ils tenteraient, que je tente,que tu tentes,qu'il tente,que nous tentions,que vous tentiez,qu'ils tentent, que je tentasse,que tu tentasses,qu'il tentât,que nous tentassions,que vous tentassiez,qu'ils tentassent, (tu) tente,(nous) tentons,(vous) tentez
